	Population	Performer
ERR188230	FIN	UNIGE
ERR188231	GBR	LUMC
ERR188232	YRI	MPIMG
ERR188233	CEU	CNAG_CRG
ERR188234	YRI	CNAG_CRG
ERR188235	CEU	MPIMG
ERR188236	GBR	ICMB
ERR188237	GBR	LUMC
ERR188238	FIN	CNAG_CRG
ERR188239	TSI	MPIMG
ERR188240	FIN	UNIGE
ERR188241	FIN	CNAG_CRG
ERR188242	GBR	UNIGE
ERR188243	YRI	HMGU
ERR188244	CEU	UNIGE
ERR188245	GBR	UNIGE
ERR188246	CEU	UU
ERR188247	GBR	UNIGE
ERR188248	FIN	ICMB
ERR188249	TSI	UNIGE
ERR188250	FIN	LUMC
ERR188251	TSI	CNAG_CRG
ERR188252	TSI	ICMB
ERR188253	TSI	ICMB
ERR188254	TSI	UNIGE
ERR188255	FIN	UNIGE
ERR188256	CEU	ICMB
ERR188257	GBR	LUMC
ERR188258	TSI	CNAG_CRG
ERR188259	TSI	ICMB
ERR188260	FIN	HMGU
ERR188261	YRI	HMGU
ERR188262	CEU	CNAG_CRG
ERR188263	FIN	UNIGE
ERR188264	FIN	UU
ERR188265	TSI	CNAG_CRG
ERR188266	FIN	CNAG_CRG
ERR188267	FIN	UU
ERR188268	YRI	CNAG_CRG
ERR188269	YRI	CNAG_CRG
ERR188270	FIN	UNIGE
ERR188271	GBR	LUMC
ERR188272	CEU	UNIGE
ERR188273	YRI	MPIMG
ERR188274	FIN	MPIMG
ERR188275	YRI	UNIGE
ERR188276	TSI	CNAG_CRG
ERR188277	CEU	HMGU
ERR188278	YRI	UNIGE
ERR188279	CEU	UU
ERR188280	FIN	MPIMG
ERR188281	TSI	LUMC
ERR188282	TSI	UU
ERR188283	YRI	UU
ERR188284	YRI	LUMC
ERR188285	GBR	UU
ERR188286	TSI	ICMB
ERR188287	GBR	ICMB
ERR188288	TSI	UNIGE
ERR188290	TSI	UNIGE
ERR188291	CEU	CNAG_CRG
ERR188292	YRI	HMGU
ERR188293	GBR	CNAG_CRG
ERR188294	FIN	UU
ERR188295	TSI	UNIGE
ERR188296	FIN	UNIGE
ERR188297	TSI	UNIGE
ERR188298	YRI	UNIGE
ERR188299	FIN	CNAG_CRG
ERR188300	FIN	ICMB
ERR188301	CEU	CNAG_CRG
ERR188302	FIN	HMGU
ERR188303	FIN	CNAG_CRG
ERR188304	FIN	UNIGE
ERR188305	TSI	UU
ERR188306	YRI	MPIMG
ERR188307	GBR	UNIGE
ERR188308	CEU	MPIMG
ERR188309	GBR	ICMB
ERR188310	GBR	MPIMG
ERR188311	YRI	ICMB
ERR188312	GBR	CNAG_CRG
ERR188313	YRI	ICMB
ERR188314	FIN	MPIMG
ERR188315	GBR	MPIMG
ERR188316	TSI	UNIGE
ERR188317	TSI	CNAG_CRG
ERR188318	FIN	CNAG_CRG
ERR188319	CEU	UNIGE
ERR188320	FIN	UNIGE
ERR188321	FIN	ICMB
ERR188322	YRI	ICMB
ERR188323	GBR	ICMB
ERR188324	CEU	LUMC
ERR188325	CEU	UNIGE
ERR188326	FIN	ICMB
ERR188327	CEU	UNIGE
ERR188328	GBR	MPIMG
ERR188329	TSI	UNIGE
ERR188330	FIN	HMGU
ERR188331	CEU	ICMB
ERR188332	GBR	UNIGE
ERR188333	GBR	HMGU
ERR188334	TSI	CNAG_CRG
ERR188335	TSI	UU
ERR188336	CEU	ICMB
ERR188337	GBR	UNIGE
ERR188338	GBR	UU
ERR188339	CEU	UNIGE
ERR188340	FIN	UNIGE
ERR188341	FIN	CNAG_CRG
ERR188342	GBR	CNAG_CRG
ERR188343	TSI	UNIGE
ERR188344	YRI	HMGU
ERR188345	TSI	CNAG_CRG
ERR188346	FIN	LUMC
ERR188347	TSI	UNIGE
ERR188348	CEU	LUMC
ERR188349	CEU	UU
ERR188350	CEU	UNIGE
ERR188351	GBR	HMGU
ERR188352	YRI	ICMB
ERR188353	TSI	CNAG_CRG
ERR188354	CEU	LUMC
ERR188355	FIN	ICMB
ERR188356	TSI	UNIGE
ERR188357	TSI	MPIMG
ERR188358	FIN	CNAG_CRG
ERR188359	TSI	MPIMG
ERR188360	TSI	UU
ERR188361	FIN	UNIGE
ERR188362	FIN	UNIGE
ERR188363	YRI	CNAG_CRG
ERR188364	YRI	HMGU
ERR188365	YRI	UNIGE
ERR188366	GBR	UU
ERR188367	YRI	UNIGE
ERR188368	GBR	MPIMG
ERR188369	TSI	UU
ERR188370	GBR	CNAG_CRG
ERR188371	CEU	CNAG_CRG
ERR188372	TSI	HMGU
ERR188373	YRI	UU
ERR188374	FIN	MPIMG
ERR188375	YRI	CNAG_CRG
ERR188376	CEU	UU
ERR188377	CEU	MPIMG
ERR188378	GBR	HMGU
ERR188379	GBR	MPIMG
ERR188380	TSI	MPIMG
ERR188381	TSI	UU
ERR188382	TSI	UNIGE
ERR188383	GBR	ICMB
ERR188384	TSI	HMGU
ERR188385	GBR	HMGU
ERR188386	TSI	LUMC
ERR188387	GBR	MPIMG
ERR188388	CEU	UNIGE
ERR188389	CEU	ICMB
ERR188390	YRI	UNIGE
ERR188391	GBR	UU
ERR188392	YRI	ICMB
ERR188393	TSI	MPIMG
ERR188394	TSI	HMGU
ERR188395	FIN	LUMC
ERR188396	CEU	UNIGE
ERR188397	FIN	CNAG_CRG
ERR188398	TSI	MPIMG
ERR188399	TSI	ICMB
ERR188400	FIN	UNIGE
ERR188401	GBR	HMGU
ERR188402	TSI	UNIGE
ERR188403	GBR	CNAG_CRG
ERR188404	CEU	CNAG_CRG
ERR188405	TSI	UNIGE
ERR188406	TSI	CNAG_CRG
ERR188407	GBR	MPIMG
ERR188408	TSI	CNAG_CRG
ERR188409	YRI	CNAG_CRG
ERR188410	CEU	ICMB
ERR188411	GBR	ICMB
ERR188412	GBR	ICMB
ERR188413	CEU	UNIGE
ERR188414	CEU	CNAG_CRG
ERR188415	CEU	HMGU
ERR188416	GBR	MPIMG
ERR188417	FIN	MPIMG
ERR188418	FIN	UNIGE
ERR188419	TSI	UNIGE
ERR188420	CEU	CNAG_CRG
ERR188421	YRI	UNIGE
ERR188422	YRI	UU
ERR188423	YRI	CNAG_CRG
ERR188424	TSI	MPIMG
ERR188425	FIN	UNIGE
ERR188426	CEU	ICMB
ERR188427	YRI	MPIMG
ERR188428	GBR	HMGU
ERR188429	CEU	MPIMG
ERR188430	GBR	CNAG_CRG
ERR188431	CEU	UNIGE
ERR188432	FIN	LUMC
ERR188433	CEU	UU
ERR188434	YRI	UU
ERR188435	CEU	MPIMG
ERR188436	TSI	UNIGE
ERR188437	TSI	LUMC
ERR188438	CEU	MPIMG
ERR188439	FIN	HMGU
ERR188440	YRI	CNAG_CRG
ERR188441	CEU	MPIMG
ERR188442	YRI	MPIMG
ERR188443	GBR	HMGU
ERR188444	YRI	UU
ERR188445	FIN	MPIMG
ERR188446	CEU	UNIGE
ERR188447	YRI	MPIMG
ERR188448	GBR	HMGU
ERR188449	YRI	UNIGE
ERR188450	GBR	UNIGE
ERR188451	YRI	UNIGE
ERR188452	TSI	HMGU
ERR188453	TSI	CNAG_CRG
ERR188454	YRI	ICMB
ERR188455	GBR	CNAG_CRG
ERR188456	GBR	MPIMG
ERR188457	FIN	UNIGE
ERR188458	TSI	HMGU
ERR188459	YRI	CNAG_CRG
ERR188460	YRI	UNIGE
ERR188461	GBR	UNIGE
ERR188462	FIN	ICMB
ERR188463	YRI	MPIMG
ERR188464	GBR	UNIGE
ERR188465	GBR	UU
ERR188466	GBR	ICMB
ERR188467	CEU	CNAG_CRG
ERR188468	GBR	HMGU
ERR188469	GBR	LUMC
ERR188470	GBR	UNIGE
ERR188471	YRI	HMGU
ERR188472	FIN	HMGU
ERR188473	FIN	ICMB
ERR188474	CEU	HMGU
ERR188475	TSI	HMGU
ERR188476	YRI	LUMC
ERR188477	CEU	UNIGE
ERR188478	GBR	CNAG_CRG
ERR188479	TSI	UNIGE
ERR188480	FIN	MPIMG
ERR188481	CEU	UU
ERR188482	FIN	MPIMG
ERR204819	unknown	unknown
ERR204820	unknown	unknown
ERR204821	unknown	unknown
ERR204822	unknown	unknown
ERR204823	unknown	unknown
ERR204824	unknown	unknown
ERR204825	unknown	unknown
ERR204826	unknown	unknown
ERR204827	unknown	unknown
ERR204828	unknown	unknown
ERR204829	unknown	unknown
ERR204830	unknown	unknown
ERR204831	unknown	unknown
ERR204832	unknown	unknown
ERR204833	unknown	unknown
ERR204834	unknown	unknown
ERR204835	unknown	unknown
ERR204836	unknown	unknown
ERR204837	unknown	unknown
ERR204838	unknown	unknown
ERR204839	unknown	unknown
ERR204840	unknown	unknown
ERR204841	unknown	unknown
ERR204842	unknown	unknown
ERR204843	unknown	unknown
ERR204844	unknown	unknown
ERR204845	unknown	unknown
ERR204846	unknown	unknown
ERR204847	unknown	unknown
ERR204848	unknown	unknown
ERR204849	unknown	unknown
ERR204850	unknown	unknown
ERR204851	unknown	unknown
ERR204852	unknown	unknown
ERR204853	unknown	unknown
ERR204854	unknown	unknown
ERR204855	unknown	unknown
ERR204856	unknown	unknown
ERR204857	unknown	unknown
ERR204858	unknown	unknown
ERR204859	unknown	unknown
ERR204860	unknown	unknown
ERR204861	unknown	unknown
ERR204862	unknown	unknown
ERR204863	unknown	unknown
ERR204864	unknown	unknown
ERR204865	unknown	unknown
ERR204866	unknown	unknown
ERR204867	unknown	unknown
ERR204868	unknown	unknown
ERR204869	unknown	unknown
ERR204870	unknown	unknown
ERR204871	unknown	unknown
ERR204872	unknown	unknown
ERR204873	unknown	unknown
ERR204874	unknown	unknown
ERR204875	unknown	unknown
ERR204876	unknown	unknown
ERR204877	unknown	unknown
ERR204878	unknown	unknown
ERR204879	unknown	unknown
ERR204880	unknown	unknown
ERR204881	unknown	unknown
ERR204882	unknown	unknown
ERR204883	unknown	unknown
ERR204884	unknown	unknown
ERR204885	unknown	unknown
ERR204886	unknown	unknown
ERR204887	unknown	unknown
ERR204888	unknown	unknown
ERR204889	unknown	unknown
ERR204890	unknown	unknown
ERR204891	unknown	unknown
ERR204892	unknown	unknown
ERR204893	unknown	unknown
ERR204894	unknown	unknown
ERR204895	unknown	unknown
ERR204896	unknown	unknown
ERR204897	unknown	unknown
ERR204898	unknown	unknown
ERR204899	unknown	unknown
ERR204900	unknown	unknown
ERR204901	unknown	unknown
ERR204902	unknown	unknown
ERR204903	unknown	unknown
ERR204904	unknown	unknown
ERR204905	unknown	unknown
ERR204906	unknown	unknown
ERR204907	unknown	unknown
ERR204908	unknown	unknown
ERR204909	unknown	unknown
ERR204910	unknown	unknown
ERR204911	unknown	unknown
ERR204912	unknown	unknown
ERR204913	unknown	unknown
ERR204914	unknown	unknown
ERR204915	unknown	unknown
ERR204916	unknown	unknown
ERR204917	unknown	unknown
ERR204918	unknown	unknown
ERR204919	unknown	unknown
ERR204920	unknown	unknown
ERR204921	unknown	unknown
ERR204922	unknown	unknown
ERR204923	unknown	unknown
ERR204924	unknown	unknown
ERR204925	unknown	unknown
ERR204926	unknown	unknown
ERR204927	unknown	unknown
ERR204928	unknown	unknown
ERR204929	unknown	unknown
ERR204930	unknown	unknown
ERR204931	unknown	unknown
ERR204932	unknown	unknown
ERR204933	unknown	unknown
ERR204934	unknown	unknown
ERR204935	unknown	unknown
ERR204936	unknown	unknown
ERR204937	unknown	unknown
ERR204938	unknown	unknown
ERR204939	unknown	unknown
ERR204940	unknown	unknown
ERR204941	unknown	unknown
ERR204942	unknown	unknown
ERR204943	unknown	unknown
ERR204944	unknown	unknown
ERR204945	unknown	unknown
ERR204946	unknown	unknown
ERR204947	unknown	unknown
ERR204948	unknown	unknown
ERR204949	unknown	unknown
ERR204950	unknown	unknown
ERR204951	unknown	unknown
ERR204952	unknown	unknown
ERR204953	unknown	unknown
ERR204954	unknown	unknown
ERR204955	unknown	unknown
ERR204956	unknown	unknown
ERR204957	unknown	unknown
ERR204958	unknown	unknown
ERR204959	unknown	unknown
ERR204960	unknown	unknown
ERR204961	unknown	unknown
ERR204962	unknown	unknown
ERR204963	unknown	unknown
ERR204964	unknown	unknown
ERR204965	unknown	unknown
ERR204966	unknown	unknown
ERR204967	unknown	unknown
ERR204968	unknown	unknown
ERR204969	unknown	unknown
ERR204970	unknown	unknown
ERR204971	unknown	unknown
ERR204972	unknown	unknown
ERR204973	unknown	unknown
ERR204974	unknown	unknown
ERR204975	unknown	unknown
ERR204976	unknown	unknown
ERR204977	unknown	unknown
