,PC1,PC2,PC3
GBR:CNAG_CRG:ERR188111,-0.000415352,-2.11211E-05,0.001047129
GBR:LUMC:ERR188112,-0.000698167,-0.000629692,0.000929921
FIN:UNIGE:ERR188113,-0.000382677,-0.000297569,0.000581246
TSI:CNAG_CRG:ERR188114,-0.000846088,-0.000125996,-0.000186959
FIN:ICMB:ERR188115,-1.36E-04,7.03316E-05,0.000646322
GBR:MPIMG:ERR188116,0.000841317,0.001397443,-3.01919E-05
FIN:HMGU:ERR188117,-0.000384689,0.00099076,0.000132451
FIN:ICMB:ERR188118,7.77766E-05,3.74E-05,0.000850408
GBR:CNAG_CRG:ERR188119,-5.62E-04,0.00040661,0.000819646
YRI:UU:ERR188120,-0.000205206,-0.000288785,2.08E-04
FIN:ICMB:ERR188121,-1.04E-04,0.000676017,-1.17312E-05
CEU:CNAG_CRG:ERR188122,-0.000180972,0.000429821,-0.001512358
FIN:CNAG_CRG:ERR188123,-0.000254014,0.00028202,0.000427529
FIN:UU:ERR188124,0.000401081,0.001320549,9.89355E-05
TSI:UNIGE:ERR188125,-0.00016816,0.000217253,0.000231599
TSI:UNIGE:ERR188126,-1.22E-04,-0.001298699,0.000455844
FIN:CNAG_CRG:ERR188127,-0.000219629,0.000878524,-0.00064835
YRI:UNIGE:ERR188128,-0.000251622,-0.000950039,0.001228273
YRI:MPIMG:ERR188129,-0.000131542,-0.00016044,-9.03031E-05
GBR:UU:ERR188130,-7.57E-05,0.000196808,0.000636706
YRI:CNAG_CRG:ERR188131,-0.000448395,5.88889E-05,0.000455735
TSI:CNAG_CRG:ERR188132,-0.000256122,0.000554476,-1.40624E-05
GBR:MPIMG:ERR188133,0.000254338,0.000764303,0.000827731
CEU:MPIMG:ERR188134,0.000325598,-7.80745E-05,-0.001436362
CEU:CNAG_CRG:ERR188135,-1.50286E-05,0.000562016,-0.001668274
GBR:ICMB:ERR188136,-0.000367548,0.000856418,6.01564E-05
TSI:CNAG_CRG:ERR188137,-0.000108194,0.000659285,8.35E-04
TSI:ICMB:ERR188138,-4.87857E-05,0.000997401,0.000116126
YRI:UNIGE:ERR188139,1.73786E-05,-0.000417652,0.000800156
CEU:LUMC:ERR188140,-0.000965822,-0.000530647,-0.001710587
FIN:UNIGE:ERR188141,-0.000766165,-1.22E-03,0.000815785
CEU:MPIMG:ERR188142,0.000433623,0.000553584,-0.000115353
YRI:UU:ERR188143,0.000145704,-0.000307348,0.000614588
GBR:LUMC:ERR188144,-0.001118588,-0.000787675,0.00054845
TSI:UNIGE:ERR188145,-0.000396927,-0.000631151,1.01E-03
FIN:UNIGE:ERR188146,-1.22E-04,-0.000189122,0.00071008
TSI:ICMB:ERR188147,-0.000226072,9.71E-04,-0.000258134
CEU:MPIMG:ERR188148,0.00017424,0.000419665,-0.001321991
FIN:UNIGE:ERR188149,-0.000319952,-0.000630498,0.001012614
FIN:ICMB:ERR188150,-0.000561005,0.000410584,0.000251109
YRI:CNAG_CRG:ERR188151,8.32509E-05,0.000212649,6.28E-04
CEU:CNAG_CRG:ERR188152,-0.000614447,-0.000561351,-0.000772798
TSI:CNAG_CRG:ERR188153,-0.000865252,-0.000299341,0.000240019
GBR:CNAG_CRG:ERR188154,-0.00056165,0.000723937,-0.000871068
TSI:CNAG_CRG:ERR188155,-1.50087E-05,0.000411193,0.000230978
FIN:CNAG_CRG:ERR188156,-0.000502978,0.000163503,0.000274013
CEU:CNAG_CRG:ERR188157,-0.000138632,-4.8983E-05,-0.00028964
YRI:LUMC:ERR188158,-0.000563228,-0.000731553,-0.000413388
GBR:ICMB:ERR188159,-0.000368221,2.1844E-06,0.001151891
TSI:ICMB:ERR188160,0.00017763,7.67374E-05,0.000758607
CEU:UNIGE:ERR188161,4.20E-04,-0.000655888,-0.000252272
YRI:UNIGE:ERR188162,6.82E-05,4.54E-05,-0.000422629
FIN:ICMB:ERR188163,3.42218E-05,0.001192929,-0.000559228
GBR:LUMC:ERR188164,-0.000271336,0.000472046,-0.000290217
YRI:MPIMG:ERR188165,0.000224034,3.16587E-05,0.000567664
GBR:LUMC:ERR188166,-0.000766997,-5.9682E-05,0.000326903
GBR:ICMB:ERR188167,-0.000238703,0.000747845,0.000234997
FIN:CNAG_CRG:ERR188168,-0.000438474,0.000491743,0.000150704
FIN:CNAG_CRG:ERR188169,-0.000674083,0.00057014,-3.75E-04
YRI:CNAG_CRG:ERR188170,-0.000447238,-7.38E-05,0.000524978
TSI:ICMB:ERR188171,9.21287E-05,0.000145138,-1.71E-04
CEU:HMGU:ERR188172,0.00025787,0.000677937,-0.001358725
TSI:ICMB:ERR188173,-3.31E-04,0.000962493,-7.7454E-05
YRI:CNAG_CRG:ERR188174,-0.000543849,-0.000364892,-0.000532644
FIN:UNIGE:ERR188175,-0.00066492,-0.00046015,0.000856014
CEU:CNAG_CRG:ERR188176,-5.19E-04,3.56E-04,-0.001326901
CEU:LUMC:ERR188177,-0.000115646,-4.0329E-05,-0.000263211
YRI:CNAG_CRG:ERR188178,-0.000381035,0.000208607,-0.000344043
TSI:LUMC:ERR188179,-0.000594248,-0.000254694,2.21349E-05
FIN:ICMB:ERR188180,-0.000529719,0.000194743,-0.00028986
CEU:CNAG_CRG:ERR188181,-0.000342026,0.000548078,-0.0016798
YRI:LUMC:ERR188182,-0.000634908,-0.000891807,0.00031585
YRI:UU:ERR188183,-9.29E-05,0.000562047,-0.000855045
YRI:CNAG_CRG:ERR188184,-0.000632512,0.000523705,0.000247153
GBR:HMGU:ERR188185,-0.000651021,0.000226607,0.000614737
GBR:UU:ERR188186,-0.000308531,0.000827393,0.000460918
FIN:ICMB:ERR188187,0.0001861,0.000656202,4.82E-04
YRI:CNAG_CRG:ERR188188,-0.000641955,0.000339559,0.000224509
GBR:CNAG_CRG:ERR188189,-0.000505952,7.16E-04,4.22E-04
FIN:MPIMG:ERR188190,2.08E-04,0.001615969,-0.000285936
TSI:MPIMG:ERR188191,3.00E-04,0.000538061,-0.000318885
TSI:CNAG_CRG:ERR188192,0.0002156,0.000673248,6.31673E-06
YRI:UU:ERR188193,-0.000102911,-6.60707E-05,-0.000264511
FIN:UNIGE:ERR188194,-0.000418157,-6.49309E-06,0.000541364
TSI:UU:ERR188195,-2.87224E-05,-0.000339353,-0.000100274
CEU:UNIGE:ERR188196,-6.06161E-05,-0.000809469,-0.001090712
FIN:CNAG_CRG:ERR188197,0.000118233,0.001073645,-0.002029802
FIN:CNAG_CRG:ERR188198,-0.001018324,9.56679E-06,0.000525861
TSI:MPIMG:ERR188199,0.000277308,0.000328194,-0.000145294
YRI:UNIGE:ERR188200,2.38E-04,-0.000742716,-0.000451655
TSI:HMGU:ERR188201,-0.000781407,-0.00032772,-4.17603E-05
CEU:MPIMG:ERR188202,1.36E-04,0.000540711,-3.19E-04
TSI:LUMC:ERR188203,6.74146E-05,0.000121457,-0.000570693
TSI:CNAG_CRG:ERR188204,-0.000454387,0.000723088,0.00027034
FIN:ICMB:ERR188205,-5.90892E-05,0.000631488,2.00E-04
GBR:CNAG_CRG:ERR188206,2.73998E-05,0.000875005,0.00076114
YRI:CNAG_CRG:ERR188207,0.000122923,0.000770821,-0.000544518
TSI:MPIMG:ERR188208,0.000217206,6.79E-04,0.000563147
YRI:UU:ERR188209,0.00032175,-0.000336817,0.000798987
TSI:MPIMG:ERR188210,3.86818E-05,0.000724111,0.000833102
YRI:ICMB:ERR188211,4.12E-05,0.000114362,-4.89368E-05
GBR:CNAG_CRG:ERR188212,6.79355E-05,0.001146717,0.00052097
CEU:CNAG_CRG:ERR188213,-1.59681E-05,0.000316193,-0.001664168
YRI:LUMC:ERR188214,-7.81E-04,-0.001225197,0.000733551
FIN:LUMC:ERR188215,-0.00084527,-0.001127144,-0.00069173
CEU:LUMC:ERR188216,-0.000766174,-0.001130713,-0.001073136
CEU:CNAG_CRG:ERR188217,-0.000338503,0.000101893,-0.001007467
FIN:HMGU:ERR188218,-0.000841889,-0.000402423,-0.000513635
GBR:UNIGE:ERR188219,-0.001392747,-0.000580581,0.000650925
CEU:CNAG_CRG:ERR188220,-0.00027281,0.00021769,-0.001811806
YRI:MPIMG:ERR188221,0.000383052,0.000392059,-0.000136574
GBR:CNAG_CRG:ERR188222,-0.00039254,0.001018861,-5.22E-05
YRI:LUMC:ERR188223,9.08453E-05,-8.08E-04,4.74E-04
TSI:CNAG_CRG:ERR188224,-7.80E-04,-0.000352385,-0.000397638
YRI:ICMB:ERR188225,0.000318435,0.00034011,0.000454754
TSI:MPIMG:ERR188226,-0.00031343,-0.000266357,-0.000707291
CEU:MPIMG:ERR188227,0.000145769,0.000623562,-0.001243699
CEU:LUMC:ERR188228,-0.000543094,-0.000701063,-0.000548123
CEU:ICMB:ERR188229,6.43482E-05,-0.000104117,-0.001241362
FIN:UNIGE:ERR188230,-0.000149672,0.000274405,-0.000305716
GBR:LUMC:ERR188231,-1.00E-03,-5.22E-04,6.98E-04
YRI:MPIMG:ERR188232,0.000430105,0.000730138,0.000156744
CEU:CNAG_CRG:ERR188233,0.000260634,0.000582864,-0.000670308
YRI:CNAG_CRG:ERR188234,-0.000732255,0.000343839,0.000165241
CEU:MPIMG:ERR188235,-3.88994E-05,-0.000294592,-0.001189188
GBR:ICMB:ERR188236,-0.000243832,0.000612841,0.000756619
GBR:LUMC:ERR188237,-0.001048182,-0.000808009,0.000897861
FIN:CNAG_CRG:ERR188238,-0.000309856,0.001408681,-0.000390635
TSI:MPIMG:ERR188239,0.000732453,0.001508986,-0.000385859
FIN:UNIGE:ERR188240,-0.000718456,-0.00137999,5.67586E-05
FIN:CNAG_CRG:ERR188241,-0.000577815,0.000862382,-0.001004612
GBR:UNIGE:ERR188242,0.000205694,-0.000264291,0.000469674
YRI:HMGU:ERR188243,-0.000143091,-0.000131589,0.000634104
CEU:UNIGE:ERR188244,1.60039E-05,-0.000352621,-0.000594635
GBR:UNIGE:ERR188245,0.00028148,0.000287271,0.000664479
CEU:UU:ERR188246,0.000288955,0.000519536,-0.001034488
GBR:UNIGE:ERR188247,-4.03222E-05,-0.000258656,0.000841568
FIN:ICMB:ERR188248,-0.000329883,0.000534057,6.84596E-05
TSI:UNIGE:ERR188249,0.000246725,0.000529113,0.000364722
FIN:LUMC:ERR188250,-0.000256414,-1.74093E-05,0.000282683
TSI:CNAG_CRG:ERR188251,-2.22989E-05,0.001246961,0.000413507
TSI:ICMB:ERR188252,0.000336196,0.001111881,-0.000170865
TSI:ICMB:ERR188253,-0.000130077,0.000495329,0.000187151
TSI:UNIGE:ERR188254,0.000290721,0.000107743,-9.25915E-05
FIN:UNIGE:ERR188255,-0.000124396,-0.00063851,0.001194242
CEU:ICMB:ERR188256,0.000359666,0.000678255,-0.00100419
GBR:LUMC:ERR188257,-0.000239884,0.00027797,0.000594412
TSI:CNAG_CRG:ERR188258,-0.000858162,-0.000136102,-0.00059465
TSI:ICMB:ERR188259,0.000170768,0.001047604,0.000216297
FIN:HMGU:ERR188260,-0.000746871,0.00040093,0.000265658
YRI:HMGU:ERR188261,-0.000878976,-0.000142144,-0.000410763
CEU:CNAG_CRG:ERR188262,-0.000311077,-0.000669619,-0.001103189
FIN:UNIGE:ERR188263,-0.000310461,-0.000115124,0.000145957
FIN:UU:ERR188264,-0.000427103,0.000833415,-9.20052E-05
TSI:CNAG_CRG:ERR188265,-0.000293061,0.000868403,0.000810209
FIN:CNAG_CRG:ERR188266,-0.000177427,0.001327017,-0.000236882
FIN:UU:ERR188267,-0.000175836,0.000707815,-0.000622122
YRI:CNAG_CRG:ERR188268,-0.000353931,0.000401859,0.000221584
YRI:CNAG_CRG:ERR188269,-0.000713582,4.58296E-05,5.36758E-05
FIN:UNIGE:ERR188270,-0.000769246,-0.000835822,0.000188971
GBR:LUMC:ERR188271,-0.000322889,-0.000412372,-0.000182985
CEU:UNIGE:ERR188272,7.94451E-06,-0.000646375,-0.000580469
YRI:MPIMG:ERR188273,0.000589314,0.000380444,-0.000297841
FIN:MPIMG:ERR188274,-0.000193648,-1.04595E-05,-0.000421377
YRI:UNIGE:ERR188275,-3.7596E-05,-0.001063823,0.000132896
TSI:CNAG_CRG:ERR188276,-0.000419833,0.000962949,-0.000438816
CEU:HMGU:ERR188277,-0.000376596,-2.74899E-06,-0.002126831
YRI:UNIGE:ERR188278,0.00095768,-0.000665301,0.000882147
CEU:UU:ERR188279,-0.000376675,-0.000109828,-0.00131572
FIN:MPIMG:ERR188280,0.000278405,0.00140391,-0.000320986
TSI:LUMC:ERR188281,-0.000502721,-0.00016082,0.000328142
TSI:UU:ERR188282,0.000155123,0.000597978,0.000210273
YRI:UU:ERR188283,0.0008311,0.000249966,0.00070623
YRI:LUMC:ERR188284,-0.000586176,-0.001195288,0.000611691
GBR:UU:ERR188285,-0.000481158,0.000806986,0.00033265
TSI:ICMB:ERR188286,0.000395137,0.000778109,0.000805947
GBR:ICMB:ERR188287,-0.000451054,0.000125624,-0.000111087
TSI:UNIGE:ERR188288,1.39853E-05,6.40321E-05,0.000642849
TSI:UNIGE:ERR188290,-0.000151123,-0.000359544,0.001295459
CEU:CNAG_CRG:ERR188291,0.000100855,0.000175437,-0.000964098
YRI:HMGU:ERR188292,-0.000256153,0.000206171,0.00022714
GBR:CNAG_CRG:ERR188293,9.89182E-05,0.001065663,0.000321654
FIN:UU:ERR188294,-0.000435101,-0.000351102,-0.000272812
TSI:UNIGE:ERR188295,-0.00031817,0.000318711,-2.18931E-05
FIN:UNIGE:ERR188296,1.32815E-05,-0.000447994,-0.000130907
TSI:UNIGE:ERR188297,0.000167783,-0.000122476,-3.4106E-05
YRI:UNIGE:ERR188298,-0.000361987,-0.00064241,-4.30515E-05
FIN:CNAG_CRG:ERR188299,-0.000604436,0.000126959,0.000750471
FIN:ICMB:ERR188300,-0.000375194,0.000430426,-0.000256338
CEU:CNAG_CRG:ERR188301,-0.000170019,0.000725752,-0.000923259
FIN:HMGU:ERR188302,-0.000610789,-2.60134E-05,-0.000628261
FIN:CNAG_CRG:ERR188303,-0.000668732,0.000748236,0.000145707
FIN:UNIGE:ERR188304,3.99565E-05,0.000268314,0.000175924
TSI:UU:ERR188305,8.20571E-05,0.000679117,0.00021065
YRI:MPIMG:ERR188306,0.000383228,0.00020332,-2.22694E-05
GBR:UNIGE:ERR188307,-0.000227564,-0.000521527,0.001395577
CEU:MPIMG:ERR188308,0.000620898,0.000207352,-0.000707066
GBR:ICMB:ERR188309,-7.36974E-05,0.000751399,0.000230806
GBR:MPIMG:ERR188310,-0.000445243,0.000779586,0.000611216
YRI:ICMB:ERR188311,0.000371328,5.4167E-05,-0.001040442
GBR:CNAG_CRG:ERR188312,-0.000626526,0.000409463,0.000224092
YRI:ICMB:ERR188313,0.00013374,-0.000216166,-4.73496E-06
FIN:MPIMG:ERR188314,-0.000257955,0.000802972,-0.000355049
GBR:MPIMG:ERR188315,8.14346E-05,0.001080266,0.000266868
TSI:UNIGE:ERR188316,-0.000657255,-0.000733593,0.001166037
TSI:CNAG_CRG:ERR188317,-0.000623457,0.000581999,0.000657233
FIN:CNAG_CRG:ERR188318,-0.000463138,0.000955504,0.000110318
CEU:UNIGE:ERR188319,0.000513033,0.000131103,-0.001091754
FIN:UNIGE:ERR188320,0.000217623,0.000123293,0.000637451
FIN:ICMB:ERR188321,-0.000516981,0.000317196,0.000376672
YRI:ICMB:ERR188322,0.000508912,0.000129134,0.000796313
GBR:ICMB:ERR188323,-2.10624E-05,0.000604374,0.000581302
CEU:LUMC:ERR188324,-0.00051497,-0.000723601,0.000237142
CEU:UNIGE:ERR188325,-0.00066456,-0.001257801,-0.001772042
FIN:ICMB:ERR188326,-0.000235229,0.000270077,0.000895241
CEU:UNIGE:ERR188327,0.00017539,8.04644E-05,-0.001719983
GBR:MPIMG:ERR188328,0.000111639,0.000901036,0.000250571
TSI:UNIGE:ERR188329,-0.000338551,-6.90989E-05,0.000490034
FIN:HMGU:ERR188330,-0.000554504,0.000512027,0.000531626
CEU:ICMB:ERR188331,0.000593342,0.000620434,-0.000794658
GBR:UNIGE:ERR188332,-0.000186653,-0.000255009,0.000863862
GBR:HMGU:ERR188333,-0.000598106,0.000305092,0.000540925
TSI:CNAG_CRG:ERR188334,5.30851E-07,0.001241225,-0.000127731
TSI:UU:ERR188335,0.000295839,0.000504036,0.000864846
CEU:ICMB:ERR188336,0.00088488,0.00066738,-0.001008195
GBR:UNIGE:ERR188337,-0.000340577,-0.000548811,0.001590787
GBR:UU:ERR188338,-0.000611856,4.7456E-05,0.001027314
CEU:UNIGE:ERR188339,-0.000434245,-0.001568345,-0.0007563
FIN:UNIGE:ERR188340,0.00022193,0.00014352,-0.000331113
FIN:CNAG_CRG:ERR188341,-0.000429835,0.000425771,-0.000136032
GBR:CNAG_CRG:ERR188342,-0.000479099,0.000995684,-1.68289E-05
TSI:UNIGE:ERR188343,-0.000201552,-0.000407016,0.00048095
YRI:HMGU:ERR188344,0.000121186,-0.000336944,-0.000874499
TSI:CNAG_CRG:ERR188345,-0.000362561,0.000559023,-2.10254E-06
FIN:LUMC:ERR188346,-0.000865742,-0.000293635,-0.000567231
