,PC1,PC2,PC3
YRI:CNAG_CRG:ERR188184,-0.000332832,0.000404252,-0.000475534
GBR:HMGU:ERR188185,-0.000321779,-0.000175271,-0.00175374
GBR:UU:ERR188186,0.000220197,0.000105937,-0.000818056
FIN:ICMB:ERR188187,0.000530041,-0.000205269,-0.00119497
YRI:CNAG_CRG:ERR188188,-0.000332293,0.000726808,0.000790773
GBR:CNAG_CRG:ERR188189,-5.67E-05,0.000346846,-0.001639042
FIN:MPIMG:ERR188190,0.000944385,0.00048468,-0.00058707
TSI:MPIMG:ERR188191,0.000663382,0.000138365,0.000173529
TSI:CNAG_CRG:ERR188192,0.000495583,5.86E-05,0.000945382
YRI:UU:ERR188193,-4.36E-05,-0.000319057,0.000194852
FIN:UNIGE:ERR188194,-0.000231233,-0.000553291,9.95E-05
TSI:UU:ERR188195,-1.19E-05,-0.000403915,-0.000233141
CEU:UNIGE:ERR188196,-0.000219229,-0.00033317,0.001410654
FIN:CNAG_CRG:ERR188197,0.000509242,0.001771949,0.001464004
FIN:CNAG_CRG:ERR188198,-0.000758457,0.000913496,-0.001408899
TSI:MPIMG:ERR188199,0.000473582,-0.00054309,-0.000635714
YRI:UNIGE:ERR188200,7.54E-05,-0.000913786,0.00177786
TSI:HMGU:ERR188201,-0.000698173,0.000302945,-0.001522209
CEU:MPIMG:ERR188202,0.000419728,0.000341799,-0.000891532
TSI:LUMC:ERR188203,0.000173201,-0.000160485,0.001230418
TSI:CNAG_CRG:ERR188204,-1.08E-06,0.00044511,-0.001078655
FIN:ICMB:ERR188205,0.000335325,0.000601491,-0.000219451
GBR:CNAG_CRG:ERR188206,0.000509033,-0.000293364,-0.001494352
YRI:CNAG_CRG:ERR188207,0.000430158,0.000580751,0.000891433
TSI:MPIMG:ERR188208,0.000628149,-0.000664975,-0.001341266
YRI:UU:ERR188209,0.000214825,-0.000931971,0.000150992
TSI:MPIMG:ERR188210,0.000458708,-0.000297419,-0.001243749
YRI:ICMB:ERR188211,0.00027892,0.00031178,8.53E-05
GBR:CNAG_CRG:ERR188212,0.000541672,0.000353226,-0.000657532
CEU:CNAG_CRG:ERR188213,0.000146068,0.000847375,0.00064753
YRI:LUMC:ERR188214,-0.001119306,-0.000977454,0.000244086
FIN:LUMC:ERR188215,-0.000995936,1.20E-05,0.000827004
CEU:LUMC:ERR188216,-0.000867841,0.0002767,0.002060758
CEU:CNAG_CRG:ERR188217,-0.000246343,0.001417349,0.000214698
FIN:HMGU:ERR188218,-0.000779477,0.000735112,-0.001141199
GBR:UNIGE:ERR188219,-0.001356343,-0.000209043,7.67E-05
CEU:CNAG_CRG:ERR188220,-6.93E-05,0.001740475,0.000480649
YRI:MPIMG:ERR188221,0.000667914,6.66E-05,0.000633931
GBR:CNAG_CRG:ERR188222,0.000175525,0.000593503,-0.001262113
YRI:LUMC:ERR188223,-0.000180102,-0.000867721,0.00055172
TSI:CNAG_CRG:ERR188224,-0.00061617,0.00095649,-0.0007545
YRI:ICMB:ERR188225,0.000530694,-0.0003512,3.20E-05
TSI:MPIMG:ERR188226,-0.000217167,0.000280945,-0.000693962
CEU:MPIMG:ERR188227,0.000392386,0.000473398,0.000829999
CEU:LUMC:ERR188228,-0.000730763,0.000115863,0.000540288
CEU:ICMB:ERR188229,0.000301586,0.000519892,0.000747337
FIN:UNIGE:ERR188230,0.000115621,0.000215026,-0.000276881
GBR:LUMC:ERR188231,-0.000947478,-0.000327916,-0.000423157
YRI:MPIMG:ERR188232,0.00074399,-0.000285481,0.000342443
CEU:CNAG_CRG:ERR188233,0.000440689,0.000470827,0.000757523
YRI:CNAG_CRG:ERR188234,-0.000425632,0.000462574,0.000604472
CEU:MPIMG:ERR188235,-7.98E-06,-0.000151965,0.00025736
GBR:ICMB:ERR188236,3.90E-05,6.36E-06,-0.001760399
GBR:LUMC:ERR188237,-0.001166105,-0.000859396,-0.000591132
FIN:CNAG_CRG:ERR188238,0.000353856,0.001297939,-0.000852463
TSI:MPIMG:ERR188239,0.001279412,0.000466542,0.000743093
