,PC1,PC2,PC3
LUSC:sample110,-9.84E-05,-6.03E-05,0.000459527
AML:sample111,0.000255789,-0.000434962,-0.000875221
LUSC:sample112,-8.10E-05,-7.27E-05,-9.35E-05
LUSC:sample113,-0.000111117,2.37E-05,0.000324074
LUAD:sample114,-0.000106247,-1.33E-05,-0.000369453
LUAD:sample115,-6.86E-05,0.000669507,-8.64E-05
LUAD:sample116,-9.29E-05,0.000480645,1.90E-05
LUAD:sample117,-0.000127487,7.61E-05,-0.000419869
LUAD:sample118,-0.000168468,0.000118693,-0.000261096
LUAD:sample119,-0.000110348,0.000275379,-2.29E-05
LAML:sample120,0.000267363,0.000121467,6.76E-05
LUAD:sample121,-0.000102373,7.35E-05,-7.45E-05
LAML:sample122,0.000329076,0.000213255,0.000238217
LUAD:sample123,-9.62E-05,0.000588907,-0.000117857
LUSC:sample124,-0.000131752,0.000103273,-0.000268754
LUAD:sample125,-7.34E-05,0.000214381,-0.000477872
LAML:sample126,0.000277945,0.000214573,0.000130501
LUSC:sample127,-9.69E-05,-0.000344362,0.00045016
LUSC:sample128,3.59E-05,0.000195671,-0.000180791
LUAD:sample129,-0.000131613,0.000125803,-0.000597104
LUSC:sample130,-2.79E-06,6.90E-05,0.001057321
LUSC:sample131,-0.000109511,1.35E-05,-8.90E-05
LUSC:sample132,-0.000128188,0.000340927,-0.000701295
LUAD:sample133,9.99E-05,0.000974059,0.000410957
LUAD:sample134,-8.62E-05,0.000535447,-4.72E-05
LUSC:sample135,-0.000105993,-0.000337909,0.000121261
LUSC:sample136,1.36E-05,0.000506604,0.00141918
LUAD:sample137,-0.000101346,0.000292065,-0.000287599
LUSC:sample138,-0.000138154,-0.000450299,0.00014433
LUAD:sample139,-7.98E-05,0.000527353,-0.000160542
LUSC:sample140,-4.32E-05,-0.000545876,0.000527812
AML:sample141,0.000275963,-0.000486565,-0.000696662
LUAD:sample142,-3.23E-05,0.000551527,0.000336986
AML:sample143,0.00029799,-0.0001243,0.000230885
LUSC:sample144,-0.000103386,-0.000305428,0.000415377
LUSC:sample145,-0.000115606,-0.000176883,-9.30E-05
LUSC:sample146,-0.000108399,-0.00050602,0.000212135
LUSC:sample147,-0.000134258,-0.000335737,0.000113624
LUAD:sample148,-0.000169789,7.60E-05,-0.000517408
LUAD:sample149,-6.39E-05,0.000333572,0.000204829
LAML:sample150,0.000280613,0.000126544,0.0001426
LUSC:sample151,-0.000135841,-0.000671916,-6.71E-05
LUSC:sample152,-9.14E-05,-0.000292209,0.000279031
LUAD:sample153,-7.25E-05,0.000156525,-1.14E-05
LAML:sample154,0.000282344,0.000213224,0.000211832
LAML:sample155,0.00027453,0.000333945,0.000222422
AML:sample156,0.000241584,-0.000148638,9.93E-05
LUSC:sample157,-9.87E-05,-0.000243084,0.000158828
LUAD:sample158,-0.000122276,0.000126643,-0.000342175
LUAD:sample159,-7.98E-05,0.000424951,-0.000427354
LUAD:sample160,-0.0001242,-1.73E-05,-0.000433506
LUSC:sample161,-0.000106417,-9.77E-05,-1.21E-05
AML:sample162,0.000294913,-0.000501046,-0.000753468
LUSC:sample163,-0.000146296,-0.000572964,-0.000105857
LUSC:sample164,-7.92E-05,0.000587952,-2.56E-05
LUAD:sample165,-0.000125442,-6.47E-07,-0.000502892
LAML:sample166,0.000301298,0.00020674,0.000174951
LUAD:sample167,-8.06E-05,0.000344254,8.57E-05
LAML:sample168,0.000254533,0.000162252,7.75E-05
LUSC:sample169,-9.92E-05,-0.000175976,-0.000124797
LUAD:sample170,-0.000162201,0.000175137,-0.000852969
LUSC:sample171,-9.10E-05,-0.00046362,0.000151041
AML:sample172,0.000309661,-0.000253403,-0.00059905
LUAD:sample173,-0.00011674,-0.000214532,-0.000252259
AML:sample174,0.000261939,-0.000553666,-0.000732954
LUAD:sample175,-9.77E-05,3.36E-06,-0.000454741
LUAD:sample176,-5.46E-05,0.000671876,-3.08E-05
LUSC:sample177,-8.07E-05,-0.00043269,0.000237601
LUAD:sample178,-6.59E-05,0.000218055,0.000198843
LUAD:sample179,-3.54E-05,0.000520254,0.000677657
LUSC:sample180,-0.000133192,-0.00040693,1.96E-05
LAML:sample181,0.000292106,0.000199618,4.42E-05
LAML:sample182,0.000304232,0.000463518,0.000293768
LUAD:sample183,-0.000105551,0.000412976,-0.00026224
LAML:sample184,0.000199773,0.000230948,7.71E-05
LUSC:sample185,-6.92E-05,-0.000319089,0.000484752
LUSC:sample186,-9.62E-05,-0.000424851,0.000534287
LUSC:sample187,-0.00013172,-0.00045752,0.000117453
LUAD:sample188,0.000113195,0.000947709,0.000667768
LUSC:sample189,-9.66E-05,-0.000309016,0.00036101
LUAD:sample190,-0.000108939,-8.22E-05,-0.000375985
AML:sample191,0.000260275,-0.000389381,-0.000378876
LUAD:sample192,-8.15E-05,0.000169085,0.000135629
LUSC:sample193,-0.00011486,-3.98E-05,3.75E-05
LUSC:sample194,-9.47E-05,0.000529499,-0.00041215
AML:sample195,0.000294824,-0.000429339,-0.000600122
LUSC:sample196,-6.35E-05,-0.000219382,0.000869081
LUAD:sample197,-3.38E-05,0.000303491,0.000521038
AML:sample198,0.000291356,-0.000364965,-0.000354997
AML:sample199,0.000276989,-0.000429575,-0.000385455
LUSC:sample200,-0.000123989,-0.000152334,0.000410603
LUSC:sample201,-9.52E-05,-5.35E-05,-0.000298986
LUAD:sample202,-5.97E-05,0.000381266,0.000268919
LUAD:sample203,-0.000102071,0.000154038,-0.000203241
LUSC:sample204,-0.000159744,-9.64E-05,-3.48E-05
LUAD:sample205,-5.42E-05,0.000426157,0.000200862
LUAD:sample206,-0.000128715,-0.000228319,-0.000283741
LUAD:sample207,-0.000118403,-5.97E-06,-0.000325893
LUAD:sample208,-0.00016953,-0.000159207,-0.000727624
LAML:sample209,0.00030581,0.00028353,0.000230313
LUSC:sample210,-0.000128289,0.000323925,-0.000810249
AML:sample211,0.000320191,-0.000262825,3.89E-05
LUSC:sample212,-9.50E-05,-0.000352675,0.000371839
LUAD:sample213,-0.000116272,6.48E-05,-0.000407993
LUAD:sample214,-6.78E-05,0.000412643,0.000279671
LUSC:sample215,-6.98E-05,-0.000215197,0.000422714
AML:sample216,0.000294187,-5.03E-05,9.45E-05
LUAD:sample217,-5.55E-05,0.000716082,6.99E-05
LUAD:sample218,-0.000112437,3.93E-05,-0.000613238
LUSC:sample219,-7.59E-05,-1.93E-05,0.000486018
LUAD:sample220,-5.97E-05,0.000216514,0.000555468
LUAD:sample221,-6.51E-05,0.000679312,-2.46E-05
LUSC:sample222,-8.17E-05,-0.000267805,0.000735977
LUSC:sample223,-7.91E-05,-0.000349268,0.000466409
LUSC:sample224,-7.82E-05,-0.000319669,0.000633894
LUSC:sample225,-5.36E-05,-0.000409617,0.000585606
LUAD:sample226,-6.99E-05,0.000357927,4.53E-06
LAML:sample227,0.000281621,0.000305588,0.000206212
LUAD:sample228,-0.000194946,-0.00014999,-0.000722953
LAML:sample229,0.0002717,0.000122477,9.19E-05
LUSC:sample230,-4.49E-05,-3.60E-05,-0.000149406
LUAD:sample231,-0.000154331,-8.23E-05,-0.000522833
LUAD:sample232,-8.16E-05,0.000546416,-6.59E-05
LUSC:sample233,-0.000155966,-0.000642269,-0.00012192
LUSC:sample234,-0.000183875,-0.000361123,-0.00031415
LUAD:sample235,-0.000137482,0.000186525,-0.000332911
LAML:sample236,0.000283635,0.00017357,0.000101865
LUSC:sample237,-0.000111049,-0.000407968,0.000216039
LUAD:sample238,-4.49E-05,3.32E-05,0.00036029
LUAD:sample239,-9.25E-05,-0.000239547,-2.36E-06
AML:sample240,0.000233431,-0.00032557,-0.00042128
LUSC:sample241,-9.00E-05,-0.000388619,-4.49E-05
LUAD:sample242,-0.000112485,9.89E-05,-0.00031192
AML:sample243,0.000303935,-0.000461966,-0.000746619
AML:sample244,0.000309194,-0.000217885,1.81E-05
LUSC:sample245,-7.36E-05,-0.000546178,0.000664468
AML:sample246,0.000308432,-7.46E-05,-9.53E-05
LUAD:sample247,-8.80E-05,0.000440193,-0.00036321
LUAD:sample248,-9.74E-05,-1.56E-05,-9.85E-05
LUAD:sample249,-0.000107393,0.000109803,0.000273417
LUSC:sample250,-6.07E-05,-0.000166229,-2.77E-05
LUSC:sample251,-8.42E-05,-0.000170246,0.000310322
LUAD:sample252,-9.17E-05,0.00026408,5.78E-05
LUSC:sample253,-0.000122044,0.000419723,-0.000460632
LUAD:sample254,-9.61E-05,0.000138711,-0.000247551
AML:sample255,0.000315955,-0.000102539,9.08E-05
LUAD:sample256,-0.000135362,7.56E-05,-0.00059408
LUAD:sample257,-5.79E-05,0.000632189,0.000190149
LUSC:sample258,-0.000142746,-0.00045635,-1.35E-05
LUAD:sample259,-5.01E-05,0.000411942,4.19E-05
LUAD:sample260,-0.000161448,-0.000108882,-0.000460253
LUSC:sample261,-0.00012608,-0.000267968,-8.00E-05
LUAD:sample262,-9.06E-05,-0.000222551,-0.00042183
LUAD:sample263,-6.49E-05,1.67E-05,-0.00052336
LUSC:sample264,-0.00012227,-0.000518926,0.000151653
AML:sample265,0.000305029,-0.000327684,-0.000439484
LUSC:sample266,-7.23E-05,-0.000346829,0.000120925
LUSC:sample267,-9.11E-05,-0.00018512,-1.84E-05
LUAD:sample268,-0.000136511,-0.000219396,-0.000757833
LUAD:sample269,8.59E-06,0.000658456,0.000397774
LUAD:sample270,-6.54E-05,-8.47E-05,-0.000210509
LUAD:sample271,-6.72E-05,0.000430668,0.000259694
LUAD:sample272,-0.000104163,0.000221814,-0.000259346
LUAD:sample273,-9.89E-05,0.000175274,-0.000619914
LUAD:sample274,-5.34E-05,0.000187462,0.000155678
LUAD:sample275,-8.97E-05,0.000177397,0.000147309
LUAD:sample276,-0.00012412,0.000158914,-0.000542144
LUSC:sample277,-1.02E-06,-4.57E-05,0.000178215
LAML:sample278,0.000268475,2.93E-05,-2.84E-05
LUAD:sample279,7.69E-05,0.000884713,0.000490599
LUSC:sample280,-5.42E-05,-0.000197723,1.24E-05
AML:sample281,0.000297127,-0.000221934,3.03E-05
LUAD:sample282,-7.44E-05,0.000406473,-6.34E-05
LUSC:sample283,-9.50E-05,3.78E-05,0.000274595
LUSC:sample284,-0.00012645,-0.000438781,0.000121322
LAML:sample285,0.000294531,0.000240997,-2.41E-05
LUAD:sample286,-9.46E-06,0.000502733,0.000542881
AML:sample287,0.000275806,-0.000366614,-0.000430718
LUSC:sample288,-4.94E-05,0.0001323,0.00095744
LUSC:sample289,-0.000166162,-0.000513331,-0.000169516
LUSC:sample290,-0.000118618,0.000431195,-0.00074694
LUSC:sample291,-0.000155662,-0.000200829,-9.72E-05
LUAD:sample292,-0.000121213,0.000286852,-0.000413606
LUAD:sample293,-8.53E-05,0.000370212,0.000153156
LUAD:sample294,-4.54E-05,0.000397258,4.82E-05
AML:sample295,0.000292769,-7.41E-05,-1.83E-05
LUSC:sample296,-0.000118346,-0.000145546,0.000342595
LUAD:sample297,-7.25E-05,-2.29E-05,-0.000104033
AML:sample298,0.000281785,-0.000145597,-8.55E-05
AML:sample299,0.000314197,-0.000196115,9.81E-05
LAML:sample300,0.000288904,0.000124129,0.000140425
LUAD:sample301,-7.92E-05,0.000130548,0.000357185
LUSC:sample302,-0.000121259,-0.000656819,0.000384699
LAML:sample303,0.000282587,0.000327271,0.00035504
AML:sample304,0.000251056,0.00024577,0.000818787
LUAD:sample305,-0.000139734,0.000344102,-0.000401232
LUAD:sample306,-0.000104501,0.000476553,-0.000573958
LAML:sample307,0.000279815,0.000212217,0.000211355
LUAD:sample308,-5.66E-05,0.000160272,0.000279105
AML:sample309,0.00028386,-0.000132624,3.55E-05
LAML:sample310,0.000294779,0.000207231,4.29E-05
LUSC:sample311,-0.000102603,-0.000128224,8.03E-05
LUAD:sample312,-6.93E-05,0.00026688,1.80E-05
LUSC:sample313,-8.33E-05,-0.000271613,5.91E-05
LUAD:sample314,-7.30E-05,0.0006535,1.15E-05
LUAD:sample315,-7.15E-05,0.000504701,-0.000279283
AML:sample316,0.00027489,-0.000187875,0.000143142
AML:sample317,0.00030473,-0.000306265,-0.000402458
