,PC1,PC2,PC3
LUSC:sample111,-0.000548588,9.11E-05,0.00069629
LUAD:sample112,0.000528256,6.94E-05,0.00022352
LUSC:sample113,-0.00057388,-0.000521055,-0.000391736
LUAD:sample114,0.000569051,-0.000554951,-0.00024978
LUSC:sample115,-0.000391871,-0.000290251,7.87E-07
LUSC:sample116,-0.00021507,0.000208473,-0.000323279
LUSC:sample117,-0.000511175,-0.000114861,0.000265145
LUSC:sample118,-0.000367064,2.81E-05,0.000350572
LUAD:sample119,9.52E-05,0.000661487,-0.00020399
LUAD:sample120,0.000355278,-0.000334611,-0.000650082
LUSC:sample121,-0.000786809,0.0003855,8.18E-05
LUSC:sample122,-0.000362678,-0.00018184,0.000449338
LUAD:sample123,0.000143212,-1.99E-05,-0.001672744
LUSC:sample124,-0.000260025,-0.00010897,-0.001096554
LUAD:sample125,0.000189952,0.000336848,-0.00012827
LUAD:sample126,0.000439834,0.000378927,0.000249382
LUAD:sample127,-1.51E-06,0.000512079,-0.001173497
LUSC:sample128,-8.83E-05,5.99E-05,0.000365694
LUSC:sample129,-0.00069188,0.000423574,6.64E-05
LUSC:sample130,0.000581014,-5.38E-05,0.001374709
LUAD:sample131,2.85E-06,0.000614132,-0.000979507
LUAD:sample132,0.000350177,-0.000155729,-0.000184539
LUSC:sample133,-0.000184176,0.000193271,-0.000609991
LUAD:sample134,0.000175887,0.001030951,-0.000204451
LUSC:sample135,-0.00051922,-2.47E-05,0.00025958
LUAD:sample136,-0.000216753,0.000353904,-0.000710699
LUAD:sample137,2.80E-05,0.000496132,-0.000249025
LUAD:sample138,0.000668162,-0.000116446,0.001206174
LUSC:sample139,-0.000533617,-8.42E-05,0.000366068
LUAD:sample140,0.000229774,-0.000303369,-0.000982355
LUAD:sample141,0.000474999,-0.000842228,-0.000252644
LUSC:sample142,-0.000500742,0.000219286,0.000369912
LUAD:sample143,0.000413297,0.000246422,0.000547792
LUSC:sample144,-0.000360438,-0.000467016,-0.000211992
LUSC:sample145,-0.000450249,-0.000471445,0.000103345
LUSC:sample146,-0.00051285,7.46E-05,0.000275991
LUAD:sample147,0.000825193,-0.001046637,0.000313545
LUSC:sample148,-0.000354969,-0.000292549,0.000413254
LUAD:sample149,-6.62E-05,0.000448023,-0.000791269
LUAD:sample150,0.000166599,-0.000171284,-0.000898511
LUSC:sample151,-0.000106255,6.73E-05,-8.33E-05
LUSC:sample152,0.000565778,0.000348151,0.00116997
LUSC:sample153,-0.000327192,-0.000854257,0.000324531
LUAD:sample154,0.000285572,-0.000660723,-0.000177879
LUSC:sample155,-0.000279156,-0.000245578,0.000666606
LUSC:sample156,-6.03E-07,0.00030621,-0.000630123
LUAD:sample157,0.000372063,-0.00038644,-0.000195971
LUAD:sample158,0.000185158,0.000188138,-0.001179155
LUSC:sample159,-0.00014893,0.000219985,0.000659377
LUAD:sample160,0.000481677,-0.000390783,-0.000445518
LUAD:sample161,-0.000182705,0.000367829,-0.000922236
LUAD:sample162,2.92E-05,0.000353981,-0.000936307
LUAD:sample163,-9.86E-05,0.00077583,-0.000276787
LUSC:sample164,0.000379647,0.000869249,0.001239179
LUSC:sample165,-0.000444839,-0.000245941,0.000257877
LUAD:sample166,0.000116561,0.000420115,-0.000610524
LUAD:sample167,0.000380751,-0.000377765,-0.000478115
LUSC:sample168,-0.000290551,-0.000385645,-0.000113132
LUAD:sample169,0.000727128,-0.000236298,0.001367309
LUAD:sample170,1.37E-05,0.000744992,-0.000660422
LUSC:sample171,-0.000105618,-0.000467034,0.000251888
LUAD:sample172,0.000172117,-0.000631227,-0.000250605
LUAD:sample173,0.000696919,-0.000127917,0.001294232
LUSC:sample174,-0.000383683,-0.000666622,0.00050252
LUSC:sample175,-0.000454847,-0.000364398,0.000224842
LUSC:sample176,-0.000394149,-0.000587254,0.00021661
LUSC:sample177,-0.000461068,-0.000570125,2.16E-05
LUAD:sample178,0.000381544,-0.000113254,-0.000429966
LUAD:sample179,-0.000155323,0.00097958,-0.000617794
LUSC:sample180,2.42E-05,6.42E-05,-0.000492212
LUAD:sample181,-8.00E-05,0.000688452,-0.000923312
LUAD:sample182,0.000532181,-1.07E-05,0.000955976
LUSC:sample183,-0.000730188,0.000456521,0.000398116
LUSC:sample184,-0.000420942,0.000617375,0.000171168
LUAD:sample185,0.000181048,0.000415201,-0.000318271
LUSC:sample186,-0.000450365,-7.76E-05,0.000196157
LUAD:sample187,9.19E-06,-0.000450771,-0.00106313
LUAD:sample188,-0.000217715,3.45E-05,-0.001210704
LUSC:sample189,-0.000382245,0.000129395,0.000224445
LUAD:sample190,8.21E-05,0.000376627,-0.000851779
LUSC:sample191,-0.000634077,-0.000568611,0.000364534
LUAD:sample192,0.000477573,0.000289158,6.78E-05
LUAD:sample193,-1.81E-05,0.000126021,-0.000923163
LUAD:sample194,5.37E-05,-0.000242185,-0.000569263
LUSC:sample195,-0.000174725,3.99E-05,2.91E-05
LUSC:sample196,-0.000203221,-0.00029103,7.27E-05
LUAD:sample197,0.00028273,-0.000109817,8.93E-05
LUSC:sample198,0.000469567,0.00046241,0.001066468
LUAD:sample199,0.000137679,0.000268763,-0.000443068
LUAD:sample200,8.46E-05,0.000703387,-0.000472438
LUAD:sample201,0.000678441,-0.000391148,0.00083675
LUSC:sample202,-0.000522113,0.000233037,-0.000156586
LUAD:sample203,0.000427761,-0.000189693,4.19E-05
LUAD:sample204,-0.000123719,0.00064808,-0.000787677
LUSC:sample205,-0.000320696,0.000253727,0.00071384
LUAD:sample206,-0.000188731,0.000475031,-0.001415665
LUAD:sample207,7.90E-05,0.000495284,-0.001261235
LUSC:sample208,-0.000558005,1.08E-05,-3.14E-05
LUSC:sample209,-0.000352231,-8.41E-05,0.000179676
LUSC:sample210,-0.000179524,5.65E-05,-0.000482902
LUAD:sample211,-0.000121582,0.000785433,-0.001030547
LUAD:sample212,0.000674737,-0.000710128,4.27E-05
LUAD:sample213,-4.00E-05,0.00018017,-0.000635568
LUAD:sample214,0.000444779,-0.000396235,0.000200066
LUAD:sample215,0.000220936,0.000274198,4.13E-05
LUAD:sample216,0.000220576,0.00064145,-0.00040199
LUAD:sample217,0.000224401,-0.000290147,-0.001309346
LUAD:sample218,0.000189375,-0.000207295,-0.000447227
LUAD:sample219,0.000179287,0.000607265,-0.000519783
LUSC:sample220,7.84E-05,-0.000431666,-0.000755686
LUAD:sample221,0.000715775,-0.000727775,0.000333807
LUSC:sample222,-0.00014788,-8.33E-05,-0.000634355
LUAD:sample223,0.000431953,-4.24E-05,-0.000377342
LUSC:sample224,-3.83E-05,-0.000228013,0.000669906
LUSC:sample225,-0.000491778,3.88E-05,0.000263375
LUAD:sample226,0.000476327,-0.000782339,-0.000879827
LUSC:sample227,5.80E-05,-0.001033506,0.000264478
LUSC:sample228,-0.00058924,0.000465396,0.000237327
LUSC:sample229,0.000478824,0.000769638,0.001197615
LUSC:sample230,-0.000297663,0.000343874,0.001069049
LUAD:sample231,0.0002851,0.000460341,2.28E-05
LUAD:sample232,0.000348076,-0.000213576,-1.00E-05
LUAD:sample233,0.00044317,-0.000224891,-0.000572881
LUSC:sample234,-0.000233912,-0.000226031,0.000504913
LUAD:sample235,-5.80E-06,6.13E-05,-0.001451466
LUAD:sample236,0.000110156,-0.000395783,5.97E-05
LUSC:sample237,-0.000782263,-0.000129325,0.000500212
LUAD:sample238,0.000358635,0.000452148,0.000236913
LUAD:sample239,0.000498194,0.000568852,0.001114873
LUAD:sample240,0.000141365,-0.000364018,-0.000710769
LUSC:sample241,-0.000201921,1.87E-05,0.000485747
LUAD:sample242,0.000240877,-7.05E-05,-0.000640032
LUSC:sample243,-0.00028107,-1.06E-05,-9.87E-05
LUAD:sample244,0.000666894,-0.000139026,0.001287225
LUAD:sample245,0.000566847,0.000154131,0.001294876
LUAD:sample246,0.000705029,-0.000175418,0.001265772
LUAD:sample247,0.000216417,0.000685942,0.000223821
LUSC:sample248,-0.000582166,0.000294487,0.000168736
LUSC:sample249,-0.000469404,-0.000241806,0.000360198
LUAD:sample250,0.000816497,-0.001071076,0.00061707
LUSC:sample251,-0.000331055,-2.74E-05,0.00048912
LUAD:sample252,9.64E-05,0.000438383,-0.000856943
LUAD:sample253,5.43E-05,0.000642598,-0.00068595
LUSC:sample254,0.000507975,0.000665389,0.001328741
LUAD:sample255,0.000296698,0.000145536,-0.000300286
LUSC:sample256,-6.88E-05,-0.000164308,0.000710066
LUAD:sample257,-1.55E-05,0.000424646,-0.000936202
LUAD:sample258,8.37E-06,-0.00052764,-0.000657628
LUSC:sample259,-0.000296223,4.07E-06,0.000570177
LUSC:sample260,0.000188285,-0.000940171,0.000423795
LUSC:sample261,-0.000437733,9.80E-05,0.000270549
LUAD:sample262,0.000340773,0.000174105,-0.000404663
LUSC:sample263,-0.000510135,-0.000344136,-6.67E-05
LUAD:sample264,0.00017007,0.00087416,-0.000312562
LUSC:sample265,-0.000245068,0.000175761,1.05E-05
LUSC:sample266,-0.000396178,0.000626557,0.000330468
LUAD:sample267,0.00056158,-0.000692212,1.56E-05
LUAD:sample268,6.46E-05,-8.16E-06,-0.001409195
LUSC:sample269,-0.000443812,-0.000684946,0.000123133
LUAD:sample270,0.000742139,-0.000377632,0.001044206
LUAD:sample271,0.000102147,-0.000719645,-0.000848864
LUSC:sample272,-0.000150076,0.000560968,-0.000650413
LUAD:sample273,-3.94E-05,-0.000484876,-0.000453807
LUAD:sample274,-5.19E-05,0.000449285,-0.001079918
LUSC:sample275,-0.000666504,-0.000157253,0.000266539
LUAD:sample276,0.000464097,-0.000114239,0.000145421
LUAD:sample277,0.000434235,0.000715466,0.001352436
LUAD:sample278,0.00024562,-0.000408197,-0.000858098
LUAD:sample279,9.02E-05,-0.000135586,-0.000998979
LUSC:sample280,-0.000318649,0.000252467,-0.000280942
LUAD:sample281,7.88E-05,-0.000331947,-0.001167217
LUSC:sample282,-0.000416659,0.000238013,0.000431741
LUAD:sample283,0.000192536,-0.00047693,-0.001243678
LUSC:sample284,-0.000207393,-0.000520922,1.52E-05
LUAD:sample285,0.000311377,-0.000649566,-0.000309685
LUSC:sample286,-0.000343841,-0.000292513,0.000209873
LUSC:sample287,-0.000502747,-4.30E-05,0.000229284
