,PC1,PC2,PC3
AML:sample392,0.000295162,7.91E-06,0.000310847
AML:sample412,0.000257158,-0.00037406,-0.0004304
AML:sample414,0.00023768,-0.000344091,-0.000313634
AML:sample416,0.000280958,-0.000409809,-0.000528159
AML:sample419,0.000273622,-0.000299494,-0.000658584
AML:sample429,0.000287616,-0.000446762,-0.000547602
AML:sample432,0.000306573,-0.000483235,-0.000418856
AML:sample433,0.000290137,-4.50E-05,-0.000128638
AML:sample437,0.000296995,-0.000351138,-0.000285808
AML:sample442,0.000287434,-0.000133075,-1.92E-05
AML:sample445,0.000265978,-0.000349142,-0.000399118
AML:sample447,0.000271257,-0.000204591,-0.000486897
AML:sample449,0.000246947,-0.000303762,-0.000611037
AML:sample46,0.000274429,-0.000263468,-3.79E-05
AML:sample460,0.000271537,-0.000486966,-0.00087363
AML:sample461,0.000303584,-0.000101787,-4.70E-05
AML:sample467,0.00025143,-0.000129009,-0.000150358
AML:sample470,0.000309679,-0.00026378,-0.000255457
AML:sample478,0.000277325,-0.000356803,-0.000432577
AML:sample48,0.000307801,-0.000321617,-0.000277602
AML:sample483,0.000287345,-0.000251074,-0.000283611
AML:sample492,0.000255886,-9.39E-05,0.000331395
AML:sample512,0.000244067,-0.000566967,-0.000592232
AML:sample515,0.000301639,-9.26E-05,0.000107622
AML:sample516,0.00029885,-9.53E-05,4.65E-06
AML:sample53,0.000245431,-0.000497904,-0.000633961
AML:sample535,0.00031149,-9.94E-05,-0.000165714
AML:sample538,0.000314273,1.64E-05,0.000260387
AML:sample550,0.000292789,-0.000298883,-0.000508018
AML:sample555,0.000303317,-0.000136077,0.000131663
AML:sample581,0.000272888,-0.000414004,-0.000431114
AML:sample605,0.000282716,-0.000190171,2.02E-05
AML:sample612,0.000287148,-0.000281345,-0.000432708
AML:sample616,0.00029287,-9.14E-05,0.000290159
AML:sample621,0.000264178,-7.21E-05,9.59E-05
AML:sample624,0.000298702,-0.000440034,-0.00043706
AML:sample637,0.000293226,-0.000409216,-0.000795842
AML:sample641,0.000231423,-0.000249953,-0.00042647
AML:sample642,0.000262762,-0.000583951,-0.000590764
AML:sample649,0.000308362,-0.000249968,-0.000135454
AML:sample652,0.000310828,-0.000304788,-0.000461851
AML:sample663,0.000294874,-0.000309283,-0.000268488
AML:sample666,0.000319474,-0.000277044,-0.000323871
AML:sample681,0.00028365,-0.000264663,-0.000361961
AML:sample683,0.000274964,-0.000376112,-0.000409662
AML:sample684,0.000315646,-0.000219048,-0.000346893
AML:sample686,0.000296816,-0.000288811,-0.000551746
AML:sample692,0.000264118,0.000238669,0.000464134
AML:sample693,0.000277628,-0.000280471,-0.000363304
AML:sample70,0.000265713,0.000602881,0.001269011
AML:sample702,0.000262387,-0.000253217,-0.000161872
AML:sample706,0.000314231,-0.000255803,-0.000227041
AML:sample709,0.000292742,-0.000151922,0.000309321
AML:sample710,0.00028237,-0.000459166,-0.000691704
AML:sample719,0.000325587,-8.58E-05,0.000176299
AML:sample722,0.000270348,-5.24E-05,0.000301667
AML:sample727,0.00023262,-0.000349351,-0.000632114
AML:sample729,0.000272248,-0.000379489,-0.000466407
AML:sample744,0.000260576,-0.000497123,-0.000881374
AML:sample753,0.000291988,-0.000262466,-0.000505766
AML:sample760,0.000308404,-0.000363624,-0.000314764
AML:sample783,0.000284962,-0.000142122,6.72E-05
AML:sample790,0.000279092,-0.000327326,-8.72E-05
AML:sample794,0.000295529,-0.000200149,-0.00021342
AML:sample795,0.000289704,-0.000409705,-0.000528782
AML:sample806,0.000296583,-0.000102549,3.62E-06
AML:sample808,0.000325331,-0.000352602,-0.000296474
AML:sample812,0.00023946,-0.00021317,-0.000232631
AML:sample827,0.000276246,-0.000215647,-0.000133988
AML:sample828,0.000268518,-0.000225662,-7.25E-06
AML:sample833,0.000278862,1.09E-07,0.000197212
AML:sample84,0.000247651,-0.00057641,-0.000610767
AML:sample844,0.000245398,-0.000332925,-0.000473042
AML:sample848,0.000321762,-0.000316853,-0.000340184
AML:sample85,0.000276242,-0.000241988,-0.000278618
AML:sample855,0.00025019,0.000418003,0.000633319
AML:sample857,0.000202201,-0.000384888,-0.000187813
AML:sample859,0.000263064,-0.000338207,-0.000514989
AML:sample874,0.000310602,-2.15E-05,0.000263289
AML:sample878,0.000259968,-0.000335279,-0.000507579
AML:sample881,0.00027607,-7.10E-05,3.08E-05
AML:sample89,0.000271536,-0.000189312,0.000131781
AML:sample898,0.00030797,-0.000374951,-0.000610142
AML:sample90,0.00026598,-0.000299441,-0.000262365
AML:sample913,0.00028584,1.24E-05,9.27E-05
AML:sample918,0.000267241,-0.000607807,-0.000592504
AML:sample920,0.000270309,-0.000112044,-0.000297575
AML:sample923,0.000272507,-0.000442712,-0.000692022
AML:sample929,0.000293856,-0.000303475,-0.000235741
AML:sample933,0.000286213,-0.00031476,-0.000469037
AML:sample940,0.000268425,-0.000350637,-0.000554688
AML:sample941,0.000263771,-0.000337517,-0.000327343
AML:sample947,0.000239265,-0.000109123,0.000274871
AML:sample95,0.00029953,-0.000145131,2.47E-05
AML:sample952,0.000298826,-0.000285298,-0.000193609
AML:sample964,0.000325999,-0.00033157,-0.000227943
AML:sample971,0.000265397,-0.000251011,-3.75E-05
AML:sample973,0.000310736,-0.000338279,-0.000332818
AML:sample980,0.000294754,-0.000292464,-0.000460914
AML:sample983,0.000312296,-0.000263095,-0.000243008
AML:sample997,0.000321223,-0.000259658,-0.000123058
LAML:sample1,0.000298277,0.000302349,0.000339993
LAML:sample1003,0.000285663,0.000222545,7.21E-05
LAML:sample1012,0.000264292,0.000138492,-0.000124898
LAML:sample1022,0.000293838,0.000222646,0.000192772
LAML:sample1031,0.000311001,0.000173891,3.45E-05
LAML:sample1032,0.000279798,-0.00014369,-0.00018849
LAML:sample1036,0.000265092,0.000379341,0.00024211
LAML:sample1053,0.000309458,0.000159798,0.000142521
LAML:sample1082,0.000236144,0.000247585,-9.55E-05
LAML:sample109,0.000270328,0.000167693,0.000243803
LAML:sample1094,0.000328411,0.000214231,0.000307293
LAML:sample1114,0.000294433,0.000286154,0.00014643
LAML:sample1129,0.000315717,0.000242628,0.00030351
LAML:sample1131,0.000253193,0.000203989,0.000119905
LAML:sample1149,0.000274232,9.91E-05,4.54E-05
LAML:sample1157,0.00027993,0.000309903,0.000211509
LAML:sample1160,0.000292751,0.000235007,5.98E-05
LAML:sample1180,0.000294642,0.000224819,0.000160739
LAML:sample1183,0.000293329,0.000132797,6.45E-05
LAML:sample1192,0.000302961,0.00023982,0.000215641
LAML:sample120,0.000267363,0.000121467,6.76E-05
LAML:sample1203,0.00023911,0.000138199,9.56E-05
LAML:sample1207,0.00028258,0.000244211,4.91E-05
LAML:sample1214,0.000289724,9.68E-05,2.71E-05
LAML:sample122,0.000329076,0.000213255,0.000238217
LAML:sample1225,0.00032216,0.000263386,0.000232618
LAML:sample126,0.000277945,0.000214573,0.000130501
LAML:sample1267,0.00031437,4.16E-05,-3.88E-05
LAML:sample1272,0.000265876,0.000358361,0.000413203
LAML:sample1279,0.000275519,0.00028785,0.000154409
LAML:sample1290,0.000294421,0.000301985,0.000288989
LAML:sample1296,0.000311967,0.00017416,0.000208199
LAML:sample1297,0.00027366,0.000258929,5.73E-05
LAML:sample1301,0.000289232,0.000155055,0.000112149
LAML:sample1312,0.000297168,0.000192415,9.05E-05
LAML:sample1323,0.000239651,0.000270365,9.36E-05
LAML:sample1326,0.000240223,0.000228572,5.03E-05
LAML:sample1330,0.000302119,0.000336613,0.000180144
